Index,Mkt.RF,SMB,HML,RF,RFJ,JPY.r,Mkt.RFJ,SMBJ,HMLJ
31/7/1990,0.001,0.06,0.0363,0.0068,0.006079227,0.036886633,-0.03413112,0.057865535,0.035008649
31/8/1990,-0.1188,-0.0497,0.0033,0.0066,0.006565952,0.022845275,-0.138594987,-0.048589949,0.003226294
30/9/1990,-0.1738,0.0067,0.0014,0.006,0.006863241,0.04424203,-0.209921559,0.006416137,0.001340685
31/10/1990,0.249,0.0121,-0.0455,0.0068,0.006139236,0.069258715,0.168319276,0.011316251,-0.042552845
30/11/1990,-0.1412,-0.0553,-0.002,0.0057,0.006131445,-0.032385939,-0.112696723,-0.057150885,-0.00206694
31/12/1990,0.0193,-0.0586,-0.0361,0.006,0.005765295,-0.002982849,0.022602169,-0.058775318,-0.036208003
31/1/1991,0.0119,-0.0756,0.0024,0.0052,0.005724608,0.022259491,-0.010771752,-0.073953826,0.00234774
28/2/1991,0.1229,0.1115,0.008,0.0048,0.005542076,-0.006588413,0.129636953,0.11223948,0.008053057
31/3/1991,-0.0421,0.0363,0.004,0.0044,0.005668242,-0.063342318,0.021708161,0.03875482,0.004270504
30/4/1991,0.0218,0.0141,0.015,0.0053,0.005820037,0.026055313,-0.004801879,0.013741949,0.014619095
31/5/1991,-0.0203,-0.0079,0.004,0.0047,0.005690949,-0.003264418,-0.018066932,-0.007925873,0.0040131
30/6/1991,-0.0709,0.0117,0.0357,0.0042,0.005872403,-0.0007249,-0.071895363,0.011708487,0.035725898
31/7/1991,0.0139,-0.0351,0.01,0.0049,0.005531881,0,0.013268119,-0.0351,0.01
31/8/1991,-0.0724,-0.0495,-0.0084,0.0046,0.005157018,0.00583303,-0.078363035,-0.049212939,-0.008351287
30/9/1991,0.0866,0.0178,0.0008,0.0046,0.004634206,0.031746032,0.05299041,0.017252308,0.000775385
31/10/1991,0.0406,0.0212,-0.0342,0.0042,0.004470905,0.016595289,0.023273381,0.020853923,-0.033641706
30/11/1991,-0.0852,-0.023,-0.0035,0.0039,0.004454242,0.005691432,-0.09095337,-0.022869838,-0.003480193
31/12/1991,0.025,0.01,-0.0009,0.0038,0.004098824,0.038498403,-0.013437695,0.009629288,-0.000866636
31/1/1992,-0.0567,-0.0117,0.0191,0.0034,0.003705219,-0.004690357,-0.052543933,-0.011755136,0.019190008
29/2/1992,-0.0722,0.0299,-0.007,0.0028,0.003837142,-0.026920399,-0.047491947,0.030727188,-0.007193656
31/3/1992,-0.1145,-0.0122,0.0231,0.0034,0.003755612,-0.028629396,-0.088656888,-0.012559573,0.023780831
30/4/1992,-0.077,-0.0398,0.0545,0.0032,0.00357631,-0.003892216,-0.073757253,-0.039955515,0.054712955
31/5/1992,0.0873,0.0515,-0.0241,0.0028,0.003758011,0.033655706,0.050848464,0.049823166,-0.023315307
30/6/1992,-0.0905,-0.0006,0.0249,0.0032,0.00350016,0.029880478,-0.117280817,-0.000582592,0.024177563
31/7/1992,-0.0327,-0.0569,-0.0112,0.0031,0.002974196,-0.017227878,-0.0155632,-0.05789745,-0.011396335
31/8/1992,0.1637,-0.0509,-0.0659,0.0026,0.002953223,0.039056143,0.119507779,-0.048986766,-0.063422944
30/9/1992,-0.0286,0.0361,-0.0014,0.0026,0.002887854,0.031040268,-0.058210881,0.035013181,-0.001357852
31/10/1992,-0.0539,-0.0176,0.0118,0.0023,0.002741613,-0.032074706,-0.022913928,-0.018183221,0.012191023
30/11/1992,0.0185,-0.0321,-0.014,0.0023,0.002811935,-0.012192187,0.030587464,-0.0324962,-0.014172797
31/12/1992,-0.0103,0.021,0.0233,0.0028,0.002792541,0.000160449,-0.010451761,0.020996631,0.023296262
31/1/1993,-0.0087,-0.0167,0.0028,0.0023,0.002611333,-0.000160424,-0.008851911,-0.01670268,0.002800449
28/2/1993,0.0435,0.0209,-0.0016,0.0022,0.002381069,0.056973294,-0.013046706,0.019773442,-0.001513756
31/3/1993,0.1584,0.0026,0.037,0.0025,0.00265505,0.014187446,0.142005145,0.002563629,0.036482408
30/4/1993,0.1668,0.0107,0.0381,0.0024,0.002531942,0.046333783,0.11489351,0.010226182,0.036412855
31/5/1993,0.0496,0.1226,-0.0183,0.0022,0.002594327,0.031841812,0.016747967,0.118816662,-0.017735277
30/6/1993,-0.0419,-0.0264,-0.0267,0.0025,0.002406232,0.009086651,-0.050456269,-0.026162273,-0.026459571
31/7/1993,0.0671,-0.0479,0.0036,0.0024,0.002251899,0.003761166,0.063240607,-0.047720515,0.003586511
31/8/1993,0.0215,-0.0051,0.0032,0.0025,0.002142896,0.021810146,2.16327E-07,-0.004991142,0.003131697
30/9/1993,-0.052,0.0087,-0.0065,0.0026,0.001889408,-0.008761905,-0.042886718,0.008776902,-0.006557456
31/10/1993,-0.0256,-0.0767,0.0019,0.0022,0.001624572,-0.028407514,0.003529352,-0.078942562,0.001955552
30/11/1993,-0.1622,-0.0154,-0.0037,0.0025,0.001343363,-0.009713186,-0.152801316,-0.01555105,-0.003736291
31/12/1993,0.02,-0.0092,0.0281,0.0023,0.00119462,-0.023008057,0.045180438,-0.009416659,0.028761752
31/1/1994,0.1687,0.012,0.0359,0.0025,0.001720296,0.015639207,0.151445111,0.011815219,0.035347198
28/2/1994,0.0388,0.0093,0.0246,0.0021,0.001860836,0.053650125,-0.013961746,0.008826459,0.023347409
31/3/1994,-0.0223,0.0555,0.0201,0.0027,0.001869817,0.009673051,-0.030862421,0.054968289,0.019907434
30/4/1994,0.0329,0.0221,0,0.0027,0.001878797,0.007798791,0.025707274,0.02192898,0
31/5/1994,0.0123,-0.0203,0.0278,0.0032,0.001808568,-0.01799732,0.032302663,-0.020672041,0.028309495
30/6/1994,0.0602,0.0456,0.0385,0.0031,0.001833072,0.056966508,0.004159068,0.043142332,0.036424995
31/7/1994,-0.0411,0.0097,-0.0059,0.0028,0.001891857,-0.009024366,-0.031434091,0.009788334,-0.005953729
31/8/1994,-0.0029,-0.0225,0.006,0.0037,0.00218033,0.001808137,-0.003186647,-0.02245939,0.005989171
30/9/1994,-0.0322,-0.0174,0.0059,0.0037,0.002041911,0.011070485,-0.041179129,-0.017209483,0.005835399
31/10/1994,0.022,-0.0068,0.0095,0.0038,0.002222627,0.009949738,0.013471482,-0.006733008,0.009406409
