Index,Mkt.RF,SMB,HML,RMW,CMA,RF,RFJ,JPY.r,Mkt.RFJ,SMBJ,HMLJ,RMWJ,CMAJ
31/7/1990,0.001,0.0627,0.0363,0.006,0.0024,0.0068,0.006079227,0.036886633,-0.03413112,0.060469484,0.035008649,0.005786554,0.002314621
31/8/1990,-0.1188,-0.0497,0.0033,0.0171,-0.0096,0.0066,0.006565952,0.022845275,-0.138594987,-0.048589949,0.003226294,0.016718071,-0.009385584
30/9/1990,-0.1738,0.0064,0.0014,-0.0112,-0.0011,0.006,0.006863241,0.04424203,-0.209921559,0.006128847,0.001340685,-0.010725483,-0.001053396
31/10/1990,0.249,0.0071,-0.0455,-0.0012,0.0475,0.0068,0.006139236,0.069258715,0.168319276,0.006640114,-0.042552845,-0.001122273,0.044423299
30/11/1990,-0.1412,-0.052,-0.002,0.0386,-0.0218,0.0057,0.006131445,-0.032385939,-0.112696723,-0.053740434,-0.00206694,0.039891938,-0.022529644
31/12/1990,0.0193,-0.0611,-0.0361,0.0123,0.0187,0.006,0.005765295,-0.002982849,0.022602169,-0.061282797,-0.036208003,0.012336799,0.018755946
31/1/1991,0.0119,-0.0773,0.0024,0.0218,0.0068,0.0052,0.005724608,0.022259491,-0.010771752,-0.075616808,0.00234774,0.021325309,0.006651931
28/2/1991,0.1229,0.1132,0.008,-0.0569,0.0074,0.0048,0.005542076,-0.006588413,0.129636953,0.113950755,0.008053057,-0.057277367,0.007449078
31/3/1991,-0.0421,0.038,0.004,0.0167,-0.0126,0.0044,0.005668242,-0.063342318,0.021708161,0.040569784,0.004270504,0.017829353,-0.013452086
30/4/1991,0.0218,0.0141,0.015,0.0065,-0.0048,0.0053,0.005820037,0.026055313,-0.004801879,0.013741949,0.014619095,0.006334941,-0.00467811
31/5/1991,-0.0203,-0.0074,0.004,0.0075,-0.0012,0.0047,0.005690949,-0.003264418,-0.018066932,-0.007424236,0.0040131,0.007524563,-0.00120393
30/6/1991,-0.0709,0.0158,0.0357,0.0136,0.0029,0.0042,0.005872403,-0.0007249,-0.071895363,0.015811462,0.035725898,0.013609866,0.002902104
31/7/1991,0.0139,-0.0325,0.01,0.0087,0.003,0.0049,0.005531881,0,0.013268119,-0.0325,0.01,0.0087,0.003
31/8/1991,-0.0724,-0.0512,-0.0084,-0.0004,0.0007,0.0046,0.005157018,0.00583303,-0.078363035,-0.050903081,-0.008351287,-0.00039768,0.000695941
30/9/1991,0.0866,0.0179,0.0008,-0.0251,0.0145,0.0046,0.004634206,0.031746032,0.05299041,0.017349231,0.000775385,-0.024327692,0.014053846
31/10/1991,0.0406,0.0215,-0.0342,-0.0229,0.0006,0.0042,0.004470905,0.016595289,0.023273381,0.021149026,-0.033641706,-0.022526172,0.000590205
30/11/1991,-0.0852,-0.0256,-0.0035,0.0011,0.004,0.0039,0.004454242,0.005691432,-0.09095337,-0.025455124,-0.003480193,0.001093775,0.003977363
31/12/1991,0.025,0.0098,-0.0009,-0.0021,0.0138,0.0038,0.004098824,0.038498403,-0.013437695,0.009436702,-0.000866636,-0.00202215,0.013288417
31/1/1992,-0.0567,-0.0093,0.0191,0.0084,0.0107,0.0034,0.003705219,-0.004690357,-0.052543933,-0.009343826,0.019190008,0.008439585,0.010750423
29/2/1992,-0.0722,0.0301,-0.007,0.0107,0.0251,0.0028,0.003837142,-0.026920399,-0.047491947,0.030932721,-0.007193656,0.010996017,0.025794395
31/3/1992,-0.1145,-0.0111,0.0231,0.0113,-0.0063,0.0034,0.003755612,-0.028629396,-0.088656888,-0.011427152,0.023780831,0.011633047,-0.006485681
30/4/1992,-0.077,-0.0344,0.0545,0.0467,0.0095,0.0032,0.00357631,-0.003892216,-0.073757253,-0.034534415,0.054712955,0.046882477,0.009537121
31/5/1992,0.0873,0.0538,-0.0241,-0.0136,-0.0019,0.0028,0.003758011,0.033655706,0.050848464,0.052048278,-0.023315307,-0.013157186,-0.001838136
30/6/1992,-0.0905,0.0013,0.0249,0.0235,0.0112,0.0032,0.00350016,0.029880478,-0.117280817,0.001262282,0.024177563,0.022818182,0.010875048
31/7/1992,-0.0327,-0.0571,-0.0112,-0.0302,0.0436,0.0031,0.002974196,-0.017227878,-0.0155632,-0.058100956,-0.011396335,-0.030729402,0.044364303
31/8/1992,0.1637,-0.0518,-0.0659,-0.0442,0.001,0.0026,0.002953223,0.039056143,0.119507779,-0.049852937,-0.063422944,-0.042538606,0.000962412
30/9/1992,-0.0286,0.0346,-0.0014,-0.0212,0.0117,0.0026,0.002887854,0.031040268,-0.058210881,0.03355834,-0.001357852,-0.020561758,0.011347762
31/10/1992,-0.0539,-0.0147,0.0118,0.0113,-0.0043,0.0023,0.002741613,-0.032074706,-0.022913928,-0.015187122,0.012191023,0.011674455,-0.004442492
30/11/1992,0.0185,-0.0322,-0.014,0.0005,0.0083,0.0023,0.002811935,-0.012192187,0.030587464,-0.032597434,-0.014172797,0.000506171,0.008402444
31/12/1992,-0.0103,0.0225,0.0233,0.0216,-0.0023,0.0028,0.002792541,0.000160449,-0.010451761,0.02249639,0.023296262,0.021596535,-0.002299631
31/1/1993,-0.0087,-0.0178,0.0028,-0.0013,0.0051,0.0023,0.002611333,-0.000160424,-0.008851911,-0.017802856,0.002800449,-0.001300209,0.005100818
28/2/1993,0.0435,0.0193,-0.0016,-0.0003,-0.0034,0.0022,0.002381069,0.056973294,-0.013046706,0.018259686,-0.001513756,-0.000283829,-0.003216732
31/3/1993,0.1584,0.0024,0.037,0.0155,-0.0099,0.0025,0.00265505,0.014187446,0.142005145,0.002366426,0.036482408,0.015283171,-0.009761509
